,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
117,SindisiweSa,2023-03-01 18:09:16+00:00,0,Twitter for iPhone,@This_IsHombs Yhoo I used to pick up this other girl yayaziwa ngu sisi to the stadium. Yhey umntu wam ngoku would switch imood ndiqonde haybo then this other day wathi “ lamntana uyakufuna” 🙆🏽‍♂️,0,1,37.0
118,fikiswa59291058,2023-03-01 18:09:07+00:00,9,Twitter for Android,"Yhoo i dont want to even imagine.... lets go hard guys... only few hrs left... please go out ask your neighbour s neighbour to ask their neighbour to vote please🙏🙏🙏

Vote Juiovla 
#VoteJuiovla
#JuicyJay𓃵 
#BBTitans",6,0,1536.0
119,SimplyTulie,2023-03-01 18:07:03+00:00,3,Twitter for Android,"We r in hell with you guys,very annoying bunch of people!!! You like embarrassing us shem yhoo",0,0,137.0
120,iamfelarmie,2023-03-01 18:06:57+00:00,23,Twitter for Android,"This is giving i need 2hours, yhoo tsatsii nd kanaga jnr 😂 #BBTitans",1,0,1975.0
121,tshepi_mosagale,2023-03-01 18:06:42+00:00,1,Twitter for Android,Yhoo if ntate Frans a find out Rona re Bo mang 😭😭😭😭😭😭😭😭😭😭😭,0,1,127.0
122,Black_heather3,2023-03-01 18:04:30+00:00,2,Twitter for Android,"Yhoo Tsatsi

#BBTitans",0,1,657.0
123,ThickLR,2023-03-01 18:04:29+00:00,0,Twitter Web App,@Boka2liquorose Yhoo amadoda,0,1,7.0
124,QandaQoks,2023-03-01 18:02:09+00:00,0,Twitter for Android,Some people are so mean yhoo,0,0,20.0
125,mahlambangobisi,2023-03-01 18:01:45+00:00,0,Twitter for iPhone,Yhoo 😭😭,0,0,127.0
126,lele_xg,2023-03-01 18:00:43+00:00,0,Twitter for Android,Zesty bestie senimxube njani ngoku?? Yhoo,0,1,73.0
127,mzizizi_m,2023-03-01 17:58:22+00:00,0,Twitter for iPhone,"@6uhle Yho came across the same thing, ngisasekhaya namanje because yhoo😩",0,0,18.0
128,Thobeka2187,2023-03-01 17:57:15+00:00,3,Twitter for Android,Yhoo I like Didi now she is so strong for MO by telling her this situation of her nd Reggie #etvScandal,0,0,316.0
129,Thobeka2187,2023-03-01 17:51:36+00:00,2,Twitter for Android,Jeez SsGloria maditaba 🤣🤣🤣🤣 #etvScandal yhoo,0,0,111.0
130,GweleAthini,2023-03-01 17:48:19+00:00,0,Twitter for Android,"@EbonyNgema Yhoo say that again, everytime you are short of something you think about that money 😭😭",0,0,3.0
131,sebueng15,2023-03-01 17:47:42+00:00,1,Twitter for iPhone,i love interacting influencers. yhoo those ones i unfollow quickly,0,0,61.0
132,therainqueen_,2023-03-01 17:44:38+00:00,0,Twitter for Android,@MDNnewss Yhoo ?? aowa,0,0,5128.0
133,ThickLR,2023-03-01 17:42:56+00:00,0,Twitter Web App,@Boka2liquorose 😂😂😂😂yhoo R50?? So ndi complainer for I R10 kemna because everything is R10,0,1,28.0
134,Siyafreshmos,2023-03-01 17:42:31+00:00,0,Twitter for Android,@Life_After_18 Yhoo wenzan njani wena mjita,0,0,19.0
135,sambathaa,2023-03-01 17:41:46+00:00,1,Twitter for Android,@A_SelaG Imandi yazi🤤 eye garlic G yhoo ncaah,0,0,23.0
136,MaftaneA,2023-03-01 17:40:12+00:00,1,Twitter for Android,@Bokang_the_bae Gaona peace yhoo😭😭🤣,0,1,56.0
137,AncilaSN,2023-03-01 17:40:10+00:00,2,Twitter for iPhone,@Amumpaire_ Yhoo😔gone are those days…the TL would be active with insults flying left to right😫😂,0,0,54.0
138,NgwanaMopedi1,2023-03-01 17:38:13+00:00,1,Twitter for iPhone,@LindoGames_ Yhoo worst feeling ever 😪,0,1,13.0
139,siwa_kardashian,2023-03-01 17:37:59+00:00,3,Twitter for iPhone,"@snimhlongo Even on instagram they were not following each other, even a “like “
   Yhoo love nawe uyakwazi shem 🥹🥹",0,1,5219.0
140,olwethumtati,2023-03-01 17:36:43+00:00,1,Twitter for iPhone,@kunttothefmnne Nani you make them too long Yhoo hayi 😭👋🏽,0,1,28.0
141,OLUTHANDO123,2023-03-01 17:36:35+00:00,0,Twitter for iPhone,@kweeen_sego Yhoo kudala ndenziwa igqe😭😭😭,0,0,21.0
142,joy_mkhari,2023-03-01 17:35:29+00:00,0,Twitter for iPhone,@Bonisile_RMS @TheeGoat97 This girl in our class used to wear one strong cologne and for days we’d complain amongst ourselves till I confronted her during break told her how her cologne was too strong and makes my headache Yhoo she hated my guts 😭,0,0,2018.0
143,nondumisopertu,2023-03-01 17:35:01+00:00,2,Twitter for Android,@atebe_sir Yhoo https://t.co/s5uaSWeOFd,0,0,2392.0
144,xolisa_L,2023-03-01 17:34:39+00:00,3,Twitter for iPhone,@TManthola Yhoo ingaphela ingakaqali! 🥺 https://t.co/kXbrX45rAr,1,0,484.0
145,DreadedZoe,2023-03-01 17:33:54+00:00,1,Twitter for Android,Yhoo Chef Lentswe 🥺💔,0,1,509.0
146,Lloydbhudda,2023-03-01 17:33:29+00:00,0,Twitter for Android,Yhoo lomntana uthi in the last 2 months five of her family members have been shot💀.,0,2,378.0
147,Smaangele,2023-03-01 17:30:36+00:00,1,Twitter for iPhone,Zulu men especially. Yhoo. I’m thanks shem,0,1,3520.0
148,phazamisa_22,2023-03-01 17:27:29+00:00,2,Twitter for Android,@DubulaK @MKHARITT Yhoo,0,0,329.0
149,Smaangele,2023-03-01 17:26:11+00:00,0,Twitter for iPhone,@Spar_Letta @PharahBanks Yhoo yey!! Pls nkosyam 😭😭😭,0,1,256.0
150,OLUTHANDO123,2023-03-01 17:22:13+00:00,0,Twitter for iPhone,Yhoo 😭😭😭ohh mntase 💔,0,0,90.0
151,ndeshyyyy,2023-03-02 23:59:37+00:00,6,Twitter for iPhone,frame two yhoo 🥵,0,0,933.0
152,SoyisoQ,2023-03-02 23:58:51+00:00,1,Twitter for Android,"@Bhele__ Bra uxolo. Yhoo, I understand, LoPain. Thina ekhaya sathunywa nguBhuti kuloSis to send some money kwabe kukho umcimbi ekhaya, ta sabuya late ngabo5 azange siyibekelwe inyama. Umntu owayesithumile forgot about us. Ndisamane ndimkhumbuza ngalonto whenever we fight. Never forgot 😒",0,1,42.0
153,ndeshyyyy,2023-03-02 23:55:10+00:00,0,Twitter for iPhone,yhoo https://t.co/JRS18m3FZ5,0,0,206.0
154,ndeshyyyy,2023-03-02 23:54:01+00:00,0,Twitter for iPhone,yhoo bathong 😭😭😭,0,0,197.0
155,sabaweli,2023-03-02 23:51:00+00:00,1,Twitter for iPhone,Yhoo Biggie is playing music 🤣🤣🔥🔥🔥#BBTitans,0,0,292.0
156,Esther53942962,2023-03-02 23:46:10+00:00,2,Twitter for Android,Yhoo. Give it to all this housemates 👏👏👏👏👏👏. They are doing well #BBTitans,0,0,302.0
157,anotherleratoo,2023-03-02 23:41:16+00:00,0,Twitter for iPhone,Justin o nale body yhoo,0,0,133.0
158,_rarejem_,2023-03-02 23:40:40+00:00,0,Twitter for iPhone,@ndeshyyyy Yhoo! https://t.co/wIIXuUNIbF,0,0,44.0
159,Inaathiiii,2023-03-02 23:35:36+00:00,2,Twitter for Android,@malhilhi_s Yhoo we can see it sana 😭✋🏾,0,1,50.0
160,c2bx75,2023-03-02 23:34:03+00:00,7,Twitter for iPhone,Guys why does Kanagajr look like a real bad bitch like this bruhh it’s giving heights# and legs yhoo 😂😂😂😅😅😅😅😂😂😂😂😂#BBTitans,0,0,446.0
161,jerssicarh,2023-03-02 23:33:04+00:00,0,Twitter for iPhone,Glamour gyals came wit all d vibes and sauce yhoo💃🏾💃🏾😂😭 https://t.co/Feen0gI1Fe,0,1,79.0
162,Aya_ndiswa,2023-03-02 23:32:44+00:00,1,Twitter for Android,Kubekho uIpeleng Obama over indulge(ayo)  yhoo 😂 #BBTitans,0,0,295.0
163,summerschuks,2023-03-02 23:31:29+00:00,2,Twitter for iPhone,Yhoo these guys are cracking me up🤣 tonight 🤣🤣🥱🥱 have not laughed this much today #BBTitans,0,0,365.0
